cod_sp,WL,MEW,S,P,ML,SL,HW
pogand,1.533,0.290,2.00,2,0.651,1.086,1.445
pogatr,2.032,0.305,2,2,1.018,1.405,1.902
pogbre,1.843,0.332,2,2,0.755,1.265,1.602
pogbren,1.646,0.381,2.3,2,0.679,1.168,1.429
pogbres,1.869,0.454,2.00,2,0.85,1.279,1.541
pogcar,1.676,0.314,1.9,1.9,0.947,1.144,1.761
pogcat,2.020,0.306,2.3,2,0.953,1.455,1.897
pogcoa,3.11,0.37,1.33,1.66,1.29,1.79,3.34
pogcun,0.97,0.26,2,2,1.28,2.08,2.21
pogine,1.838,0.34,2.3,2,0.831,1.076,1.607
pogkus,2.222,0.37,1.6,1.6,0.86,1.3,2.105
poglat,2.123,0.391,2,2,1.105,1.481,2.082
poglon,2.23,0.29,2.5,2,0.69,0.98,1.375
pogmen,1.95,0.24,2,2,1.15,1.5,2.15
pogmic,2.34,0.458,2,2,1.072,1.309,2.193
pognae,1.385,0.257,2.6,2,0.606,0.835,1.222
pogpen,2.890,0.379,2.3,2,1.074,1.569,2.010
pogras,2.064,0.396,2,2,1.001,1.25,1.895
poguru,1.842,0.311,2,1.6,0.678,0.929,1.419
pogvar,2.206,0.298,2,2,1.036,1.319,2.127
pogverc,1.92,0.31,2,2,1.02,0.92,1.78
